,代码,名称,最新价,股数
602,301379,天山电子,26.62,6.279999999999999
603,301222,浙江恒威,24.09,21.21
604,001331,胜通能源,14.01,0.0
605,300294,博雅生物,32.5,2944.5599999999995
606,300735,光弘科技,21.79,531.8
607,605058,澳弘电子,21.15,122.59
608,301189,奥尼电子,21.22,0.0
609,688375,国博电子,73.32,815.2900000000003
610,002409,雅克科技,65.02,3229.419999999999
611,600276,恒瑞医药,42.56,136787.96999999997
612,688103,国力股份,31.66,824.4899999999999
613,301215,中汽股份,5.17,118.0
614,600078,ST澄星,7.11,0.0
615,688661,和林微纳,34.91,165.75
616,600213,*ST亚星,5.82,0.0
617,002876,三利谱,25.22,352.65000000000003
618,300339,润和软件,22.02,562.54
619,000768,中航西飞,24.62,24809.67
620,688403,汇成股份,9.1,68.4
621,300260,新莱应材,24.08,5243.930000000002
622,688582,芯动联科,30.62,435.62
623,002003,伟星股份,13.03,18276.010000000002
624,600718,东软集团,8.47,841.1199999999999
625,300679,电连技术,41.12,10656.570000000002
626,601669,中国电建,5.23,38866.73
627,603439,XD贵州三,13.73,2215.75
628,688381,帝奥微,19.62,0.0
629,600666,ST瑞德,1.31,0.0
630,600773,西藏城投,11.15,615.79
631,301360,荣旗科技,42.0,38.89
632,603730,岱美股份,9.89,7003.02
633,002947,恒铭达,31.78,1985.1000000000008
634,300724,捷佳伟创,62.97,1644.97
635,300638,广和通,17.28,480.23999999999995
636,301217,铜冠铜箔,10.64,107.52
637,300338,*ST开元,1.33,0.0
638,600699,均胜电子,15.97,9713.77
639,301502,华阳智能,37.96,
640,688322,奥比中光-UW,28.17,67.04
641,000738,航发控制,20.82,9086.449999999999
642,688646,逸飞激光,29.6,10.97
643,002338,奥普光电,30.97,404.05
644,600742,一汽富维,8.09,0.0
645,300718,长盛轴承,14.85,1708.4699999999998
646,301487,盟固利,29.73,0.41000000000000003
647,688050,爱博医疗,77.05,1962.7199999999996
648,002782,可立克,11.51,84.14
649,300269,联建光电,2.71,0.0
650,002106,莱宝高科,10.84,2804.159999999999
651,603386,骏亚科技,10.86,91.84
652,688496,清越科技,10.2,395.9
653,002875,安奈儿,10.9,0.0
654,000423,东阿阿胶,66.31,16440.010000000002
655,003026,中晶科技,32.87,0.0
656,300928,华安鑫创,37.04,0.0
657,600501,航天晨光,15.1,0.0
658,600268,国电南自,7.55,734.0699999999999
659,603690,至纯科技,25.47,358.54999999999995
660,600237,铜峰电子,5.51,0.0
661,301096,百诚医药,61.35,2647.5299999999993
662,002885,京泉华,11.72,271.94
663,603505,金石资源,29.66,670.84
664,688016,心脉医疗,110.44,330.0299999999999
665,688035,德邦科技,34.58,0.0
666,300647,超频三,5.54,0.0
667,688286,敏芯股份,44.43,292.62
668,688511,天微电子,22.27,0.0
669,002594,比亚迪,256.73,10701.600000000008
670,300174,元力股份,14.68,1343.1899999999996
671,600703,三安光电,12.59,36659.0
672,003001,中岩大地,14.72,88.8
673,301120,新特电气,9.82,0.0
674,300787,海能实业,14.81,0.0
675,300284,苏交科,7.07,14.8
676,600129,太极集团,36.07,7451.819999999997
677,605133,嵘泰股份,19.83,185.23999999999998
678,002575,群兴玩具,4.96,0.0
